currency,rate,base_currency,date,loaded_at
IDR,16693.0,USD,2025-12-08,2025-12-09T08:28:12.547340+00:00
KRW,1466.19,USD,2025-12-08,2025-12-09T08:28:12.547340+00:00
HUF,328.77,USD,2025-12-08,2025-12-09T08:28:12.547340+00:00
JPY,155.55,USD,2025-12-08,2025-12-09T08:28:12.547340+00:00
ISK,127.67,USD,2025-12-08,2025-12-09T08:28:12.547340+00:00
INR,90.04,USD,2025-12-08,2025-12-09T08:28:12.547340+00:00
PHP,59.133,USD,2025-12-08,2025-12-09T08:28:12.547340+00:00
TRY,42.567,USD,2025-12-08,2025-12-09T08:28:12.547340+00:00
THB,31.85,USD,2025-12-08,2025-12-09T08:28:12.547340+00:00
CZK,20.822,USD,2025-12-08,2025-12-09T08:28:12.547340+00:00
MXN,18.1879,USD,2025-12-08,2025-12-09T08:28:12.547340+00:00
ZAR,16.9642,USD,2025-12-08,2025-12-09T08:28:12.547340+00:00
NOK,10.1124,USD,2025-12-08,2025-12-09T08:28:12.547340+00:00
SEK,9.3947,USD,2025-12-08,2025-12-09T08:28:12.547340+00:00
HKD,7.7804,USD,2025-12-08,2025-12-09T08:28:12.547340+00:00
CNY,7.068,USD,2025-12-08,2025-12-09T08:28:12.547340+00:00
DKK,6.4082,USD,2025-12-08,2025-12-09T08:28:12.547340+00:00
BRL,5.4171,USD,2025-12-08,2025-12-09T08:28:12.547340+00:00
RON,4.3666,USD,2025-12-08,2025-12-09T08:28:12.547340+00:00
MYR,4.113,USD,2025-12-08,2025-12-09T08:28:12.547340+00:00
PLN,3.6298,USD,2025-12-08,2025-12-09T08:28:12.547340+00:00
ILS,3.2074,USD,2025-12-08,2025-12-09T08:28:12.547340+00:00
NZD,1.7272,USD,2025-12-08,2025-12-09T08:28:12.547340+00:00
BGN,1.6781,USD,2025-12-08,2025-12-09T08:28:12.547340+00:00
AUD,1.5057,USD,2025-12-08,2025-12-09T08:28:12.547340+00:00
CAD,1.3805,USD,2025-12-08,2025-12-09T08:28:12.547340+00:00
SGD,1.2962,USD,2025-12-08,2025-12-09T08:28:12.547340+00:00
EUR,0.858,USD,2025-12-08,2025-12-09T08:28:12.547340+00:00
CHF,0.80549,USD,2025-12-08,2025-12-09T08:28:12.547340+00:00
GBP,0.75041,USD,2025-12-08,2025-12-09T08:28:12.547340+00:00
